City ID,city,cloud,country,date,humidity,lat,long,temperature,speed
0,albany,99,US,1624909255,59,42.6001,-73.9662,90.84,8.5
1,ushuaia,20,AR,1624909164,65,-54.8,-68.3,44.26,25.32
2,vostok,31,RU,1624909256,96,46.4856,135.8833,57.07,3.67
3,cabo san lucas,20,MX,1624909001,48,22.8909,-109.9124,88.77,8.05
4,carbonia,31,IT,1624909257,83,39.1672,8.5222,78.44,6.11
5,punta arenas,0,CL,1624909258,71,-53.15,-70.9167,46.51,9.22
6,kenai,90,US,1624909258,84,60.5544,-151.2583,53.74,12.66
7,rongcheng,4,CN,1624909259,96,30.634,117.8517,73.76,2.39
8,maykor,16,RU,1624909259,96,59.0059,55.88,66.04,5.75
9,nyurba,100,RU,1624909260,83,63.2842,118.3319,58.93,2.82
10,grand gaube,0,MU,1624909260,77,-20.0064,57.6608,72.37,1.99
11,sambava,13,MG,1624909261,88,-14.2667,50.1667,70.07,10.76
12,tautira,34,PF,1624909261,72,-17.7333,-149.15,82.42,15.88
13,atuona,0,PF,1624909262,69,-9.8,-139.0333,79.34,21.74
14,sitia,0,GR,1624909262,74,35.2,26.0986,79.11,15.82
15,mehamn,100,NO,1624909263,84,71.0357,27.8492,48.38,13.02
16,castro,100,BR,1624909263,92,-24.7911,-50.0119,43.77,8.3
17,lebu,9,CL,1624909264,52,-37.6167,-73.65,51.22,2.26
18,muros,28,ES,1624909264,79,42.7762,-9.0603,62.1,9.17
19,busselton,100,AU,1624909264,77,-33.65,115.3333,51.04,20.22
20,nanortalik,100,GL,1624909265,98,60.1432,-45.2371,41.36,8.03
21,mar del plata,90,AR,1624909151,62,-38.0023,-57.5575,48.43,18.01
22,aktash,93,RU,1624909266,84,50.3,87.7333,41.81,3.36
23,bluff,10,NZ,1624909266,55,-46.6,168.3333,42.8,20.38
24,qaanaaq,98,GL,1624909267,82,77.484,-69.3632,37.76,5.19
25,faya,70,SA,1624909268,52,18.3851,42.4509,70.32,0.67
26,saskylakh,100,RU,1624909268,70,71.9167,114.0833,40.78,10.13
27,ouadda,100,CF,1624909269,96,8.0777,22.4007,68.61,2.82
28,yerbogachen,91,RU,1624909269,95,61.2767,108.0108,53.71,2.62
29,tiksi,100,RU,1624909270,96,71.6872,128.8694,31.5,6.8
30,puerto ayora,80,EC,1624909270,87,-0.7393,-90.3518,75.54,5.99
31,cherskiy,50,RU,1624909271,35,68.75,161.3,76.37,10.92
32,mataura,28,NZ,1624909271,81,-46.1927,168.8643,42.48,5.77
33,marathon,75,US,1624909272,63,44.9,-89.7668,79.57,10.36
34,port alfred,36,ZA,1624909272,81,-33.5906,26.891,58.24,14.79
35,rikitea,100,PF,1624909273,73,-23.1203,-134.9692,74.64,8.39
36,new milford,40,US,1624909273,53,40.9327,-74.0179,92.17,5.99
37,kanye,0,BW,1624909274,28,-24.9667,25.3327,58.5,7.72
38,uyuni,0,BO,1624909274,11,-20.4597,-66.825,44.35,15.82
39,dikson,2,RU,1624909275,85,73.5069,80.5464,33.94,10.74
40,provideniya,90,RU,1624909275,81,64.3833,-173.3,48.31,15.66
41,usinsk,94,RU,1624909276,56,65.9939,57.5281,54.95,7.65
42,lavrentiya,100,RU,1624909276,86,65.5833,-171.0,46.0,10.13
43,norman wells,20,CA,1624909277,44,65.282,-126.8329,78.84,13.8
44,aripuana,90,BR,1624909020,59,-9.1667,-60.6333,83.14,3.06
45,georgetown,40,MY,1624909278,90,5.4112,100.3354,78.21,5.01
